17/08/18 08:42,VFL Athens  -  VFL Rome,0:2,0:2
17/08/18 08:42,VFL Berlin  -  VFL Edinburgh,0:0,3:0
17/08/18 08:42,VFL Bern  -  VFL Ankara,2:1,3:2
17/08/18 08:42,VFL Lisbon  -  VFL London,1:2,2:2
17/08/18 08:42,VFL Vienna  -  VFL Madrid,0:2,1:3
17/08/18 08:42,VFL Copenhagen  -  VFL Oslo,1:1,1:2
17/08/18 08:42,VFL Brussels  -  VFL Amsterdam,0:2,1:3
17/08/18 08:42,VFL Paris  -  VFL Stockholm,1:1,1:3
17/08/18 08:47,VFL Edinburgh  -  VFL Paris,2:0,3:0
17/08/18 08:47,VFL Stockholm  -  VFL Athens,3:0,3:0
17/08/18 08:47,VFL London  -  VFL Vienna,0:0,0:1
17/08/18 08:47,VFL Rome  -  VFL Copenhagen,0:1,2:2
17/08/18 08:47,VFL Ankara  -  VFL Brussels,0:1,1:2
17/08/18 08:47,VFL Madrid  -  VFL Berlin,3:0,3:0
17/08/18 08:47,VFL Amsterdam  -  VFL Lisbon,1:0,1:0
17/08/18 08:47,VFL Oslo  -  VFL Bern,0:1,1:1
17/08/18 08:51,VFL Madrid  -  VFL Edinburgh,2:0,5:0
17/08/18 08:51,VFL Bern  -  VFL Rome,1:0,1:1
17/08/18 08:51,VFL Brussels  -  VFL Oslo,1:0,2:1
17/08/18 08:51,VFL Vienna  -  VFL Amsterdam,1:0,1:2
17/08/18 08:51,VFL Copenhagen  -  VFL Stockholm,0:1,0:2
17/08/18 08:51,VFL Berlin  -  VFL London,0:2,0:2
17/08/18 08:51,VFL Lisbon  -  VFL Ankara,1:0,2:0
17/08/18 08:51,VFL Athens  -  VFL Paris,2:0,2:0
17/08/18 08:56,VFL Paris  -  VFL Copenhagen,0:0,2:0
17/08/18 08:56,VFL Amsterdam  -  VFL Berlin,0:0,1:0
17/08/18 08:56,VFL Oslo  -  VFL Lisbon,1:0,2:1
17/08/18 08:56,VFL Stockholm  -  VFL Bern,2:0,4:0
17/08/18 08:56,VFL Edinburgh  -  VFL Athens,0:0,1:1
17/08/18 08:56,VFL Ankara  -  VFL Vienna,0:1,0:1
17/08/18 08:56,VFL Rome  -  VFL Brussels,1:0,2:1
17/08/18 08:56,VFL London  -  VFL Madrid,0:0,1:0
17/08/18 09:00,VFL Vienna  -  VFL Oslo,0:0,0:0
