1,2,X,HT1,HT2,HTX,FS (0:0),FS(0:0)2,FS(0:0)X,TEAMSd,TIMED,'G(0.5)O''',G(0.5)U,G(1.5)O,G(1.5)U,G(2.5)O,G(2.5)U,G(3.5)O,G(3.5)U,G(4.5)O,G(4.5)U,timestamp
2.3,2.6,4.35,2.7,3.0,2.65,1.85,1.95,23.0,VFL LONDON  VFL MADRID,Sat 11:59,0,0,0.0,0.0,1.55,2.3,2.5,1.5,4.2,1.18,08/09/2018 Sat 11:56
1.6,6.0,4.0,2.0,5.75,2.5,1.45,3.0,15.0,VFL ROME  VFL ATHENS,Sat 11:59,0,0,1.22,3.95,1.7,2.05,2.9,1.35,0.0,0.0,08/09/2018 Sat 11:56
2.85,2.3,3.75,3.15,3.05,2.3,2.0,1.95,15.0,VFL PARIS  VFL OSLO,Sat 11:59,0,0,1.25,3.5,1.7,2.0,2.8,1.4,0.0,0.0,08/09/2018 Sat 11:56
1.6,6.0,3.8,2.05,7.0,2.2,1.45,3.55,8.75,VFL BRUSSELS  VFL EDINBURGH,Sat 11:59,0,0,1.45,2.6,2.35,1.5,4.8,1.15,0.0,0.0,08/09/2018 Sat 11:56
2.5,2.7,3.6,2.9,3.25,2.35,1.95,2.15,9.75,VFL LISBON  VFL BERLIN,Sat 11:59,0,0,1.4,2.7,2.25,1.6,3.95,1.2,0.0,0.0,08/09/2018 Sat 11:56
6.0,1.65,3.55,6.0,2.1,2.25,3.5,1.5,8.0,VFL COPENHAGEN  VFL AMSTERDAM,Sat 11:59,0,0,1.55,2.35,2.6,1.45,4.9,1.14,0.0,0.0,08/09/2018 Sat 11:56
2.5,2.6,3.85,2.85,3.05,2.5,1.85,2.05,17.0,VFL ANKARA  VFL STOCKHOLM,Sat 11:59,0,0,1.16,4.55,1.55,2.3,2.65,1.45,0.0,0.0,08/09/2018 Sat 11:56
2.55,3.05,3.1,3.4,3.65,1.95,2.05,2.2,6.75,VFL BERN  VFL VIENNA,Sat 11:59,0,0,1.5,2.4,2.6,1.45,5.25,1.12,0.0,0.0,08/09/2018 Sat 11:56
1.85,5.0,3.2,2.25,6.5,2.05,1.55,3.3,7.25,VFL LISBON  VFL BRUSSELS,Sat 12:13,0,0,1.5,2.35,2.6,1.45,5.0,1.14,0.0,0.0,08/09/2018 Sat 12:12
1.35,8.0,5.0,1.75,7.5,2.65,1.3,3.8,18.0,VFL OSLO  VFL BERN,Sat 12:13,0,0,1.22,3.8,1.75,1.95,3.25,1.3,0.0,0.0,08/09/2018 Sat 12:12
1.9,3.85,3.8,2.4,3.9,2.45,1.65,2.35,19.5,VFL BERLIN  VFL ROME,Sat 12:13,0,0,1.22,3.9,1.7,2.0,3.0,1.35,0.0,0.0,08/09/2018 Sat 12:12
3.45,1.9,4.25,3.55,2.3,2.7,2.15,1.75,24.0,VFL PARIS  VFL LONDON,Sat 12:13,0,0,0.0,0.0,1.55,2.35,2.3,1.55,4.2,1.18,08/09/2018 Sat 12:12
2.35,3.0,3.4,3.0,3.7,2.1,1.95,2.1,10.25,VFL EDINBURGH  VFL COPENHAGEN,Sat 12:13,0,0,1.45,2.6,2.65,1.4,4.9,1.14,0.0,0.0,08/09/2018 Sat 12:12
1.4,7.5,4.7,1.8,5.25,3.05,1.35,3.45,24.0,VFL AMSTERDAM  VFL STOCKHOLM,Sat 12:13,0,0,0.0,0.0,1.5,2.45,2.35,1.5,3.75,1.22,08/09/2018 Sat 12:12
1.85,4.25,3.6,2.4,4.3,2.3,1.65,2.55,12.75,VFL ATHENS  VFL ANKARA,Sat 12:13,0,0,1.3,3.15,2.1,1.65,3.5,1.25,0.0,0.0,08/09/2018 Sat 12:12
5.25,1.6,4.35,6.0,1.9,2.6,3.2,1.45,11.75,VFL VIENNA  VFL MADRID,Sat 12:13,0,0,1.3,3.15,1.95,1.8,3.7,1.22,0.0,0.0,08/09/2018 Sat 12:12
2.05,3.35,3.8,2.4,4.8,2.2,1.75,2.35,12.75,VFL ANKARA  VFL EDINBURGH,Sat 12:17,0,0,1.35,2.9,2.05,1.7,3.75,1.22,0.0,0.0,08/09/2018 Sat 12:17
7.0,1.5,4.05,6.5,2.0,2.35,3.2,1.45,11.5,VFL BERN  VFL BERLIN,Sat 12:17,0,0,1.3,3.15,1.95,1.8,3.6,1.25,0.0,0.0,08/09/2018 Sat 12:17
1.85,4.05,3.85,2.1,5.75,2.3,1.55,2.7,13.75,VFL STOCKHOLM  VFL VIENNA,Sat 12:17,0,0,1.25,3.5,1.95,1.8,3.25,1.3,0.0,0.0,08/09/2018 Sat 12:17
1.35,7.75,5.5,1.65,8.0,2.9,1.3,3.5,28.0,VFL MADRID  VFL ATHENS,Sat 12:17,0,0,0.0,0.0,1.6,2.15,2.45,1.5,4.2,1.18,08/09/2018 Sat 12:17
2.15,3.1,3.8,2.4,3.3,2.75,1.8,2.1,17.75,VFL ROME  VFL LISBON,Sat 12:17,0,0,1.25,3.6,1.8,1.9,2.95,1.35,0.0,0.0,08/09/2018 Sat 12:17
2.35,3.0,3.45,2.9,3.8,2.1,1.9,2.15,10.75,VFL BRUSSELS  VFL PARIS,Sat 12:17,0,0,1.4,2.65,2.35,1.5,4.7,1.15,0.0,0.0,08/09/2018 Sat 12:17
4.35,1.9,3.45,4.6,2.45,2.2,2.8,1.65,8.25,VFL COPENHAGEN  VFL OSLO,Sat 12:17,0,0,1.5,2.4,2.65,1.4,4.8,1.15,0.0,0.0,08/09/2018 Sat 12:17
2.1,3.05,4.05,2.4,3.45,2.65,1.65,2.25,28.0,VFL LONDON  VFL AMSTERDAM,Sat 12:17,0,0,1.18,4.3,1.75,2.0,3.15,1.3,0.0,0.0,08/09/2018 Sat 12:17
4.85,1.65,4.35,6.0,1.9,2.65,3.25,1.35,22.0,VFL EDINBURGH  VFL MADRID,Sat 12:22,0,0,1.22,3.95,1.65,2.1,2.45,1.5,0.0,0.0,08/09/2018 Sat 12:22
2.95,2.25,3.75,3.25,2.7,2.45,2.15,1.75,19.25,VFL PARIS  VFL ROME,Sat 12:22,0,0,0.0,0.0,1.65,2.15,2.5,1.45,4.25,1.18,08/09/2018 Sat 12:22
5.25,1.65,3.95,5.5,2.0,2.5,3.3,1.45,10.25,VFL VIENNA  VFL AMSTERDAM,Sat 12:22,0,0,1.5,2.45,2.4,1.5,4.3,1.18,0.0,0.0,08/09/2018 Sat 12:22
2.05,3.2,4.05,2.55,3.45,2.55,1.75,2.15,16.75,VFL ATHENS  VFL STOCKHOLM,Sat 12:22,0,0,1.25,3.6,1.7,2.0,2.75,1.4,0.0,0.0,08/09/2018 Sat 12:22
1.4,8.25,4.55,1.7,7.25,2.85,1.3,4.3,13.0,VFL LISBON  VFL BERN,Sat 12:22,0,0,1.3,3.1,2.05,1.7,3.95,1.2,0.0,0.0,08/09/2018 Sat 12:22
3.35,2.25,3.25,4.0,2.5,2.3,2.45,1.7,11.5,VFL BRUSSELS  VFL LONDON,Sat 12:22,0,0,1.35,3.0,2.3,1.55,4.05,1.2,0.0,0.0,08/09/2018 Sat 12:22
1.4,7.0,5.25,1.9,6.0,2.65,1.4,3.15,21.0,VFL OSLO  VFL ANKARA,Sat 12:22,0,0,1.2,4.1,1.65,2.1,2.65,1.4,0.0,0.0,08/09/2018 Sat 12:22
1.4,9.75,4.4,1.8,8.25,2.45,1.35,3.8,11.25,VFL BERLIN  VFL COPENHAGEN,Sat 12:22,0,0,1.35,2.85,2.3,1.55,3.7,1.22,0.0,0.0,08/09/2018 Sat 12:22
